id,years,program,Y0_enrol,Y0_complete,Y0_grade,Y1_enrol,Y1_complete,Y1_grade,Y2_enrol,Y2_complete,Y2_grade,Y3_enrol,Y3_complete,Y3_grade,Y4_enrol,Y4_complete,Y4_grade,Class
111345872,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345873,four,nursing,high,low,C,high,low,C,high,low,C,high,medium,C,low,low,E,fail
111345874,four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345875,four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345876,four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345877,four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345878,four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345879,four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345880,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345881,four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,C,low,low,E,ok
111345882,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345883,four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345884,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345885,four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,C,low,low,E,ok
111345886,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345888,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345889,four,nursing,low,low,B,high,medium,B,medium,medium,B,high,high,B,high,high,C,ok
111345890,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345891,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345892,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345897,four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345898,four,nursing,medium,medium,B,high,high,C,low,low,E,low,low,E,low,low,E,ok
111345899,four,nursing,high,high,A,medium,medium,B,high,high,B,high,medium,B,low,low,E,ok
111345900,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345902,four,nursing,low,low,B,high,high,B,medium,low,C,high,high,C,high,high,C,ok
111345904,four,nursing,low,low,B,low,low,E,low,low,E,high,medium,B,medium,medium,B,ok
111345905,four,nursing,high,high,B,medium,medium,B,high,high,B,high,medium,C,low,low,E,ok
111345906,four,nursing,medium,medium,B,high,medium,B,high,high,C,medium,medium,B,high,high,C,ok
111345909,four,nursing,high,high,B,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111345910,four,nursing,high,high,A,medium,medium,B,high,high,B,high,high,B,low,low,E,ok
111354255,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354286,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354287,four,nursing,low,low,B,high,medium,B,medium,medium,B,medium,medium,C,high,medium,C,ok
111354288,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
111354290,four,nursing,medium,medium,A,high,high,B,high,high,B,high,medium,B,low,low,E,ok
111354291,four,nursing,medium,medium,A,high,high,B,high,high,B,high,medium,C,low,low,E,ok
111354292,four,nursing,medium,medium,A,high,high,A,high,high,B,high,high,B,low,low,E,ok
111354293,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354294,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354295,four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354296,four,nursing,medium,medium,B,high,high,B,high,high,C,high,high,B,low,low,E,ok
111354298,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354299,four,nursing,medium,medium,B,high,high,B,high,high,C,high,high,B,low,low,E,ok
111354301,four,nursing,medium,medium,A,high,high,B,high,high,B,high,medium,B,low,low,E,ok
111354302,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354303,four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354305,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
111354307,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354309,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354310,four,nursing,low,low,A,medium,medium,B,high,high,B,high,high,C,high,high,B,ok
111354311,four,nursing,medium,medium,A,high,high,B,high,high,B,high,medium,B,low,low,E,ok
111354312,four,nursing,medium,medium,B,high,high,B,high,high,C,high,high,B,low,low,E,ok
111354313,four,nursing,high,high,B,high,medium,B,high,high,B,high,high,B,low,low,E,ok
111354314,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354315,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354316,four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354317,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354320,four,nursing,medium,medium,B,high,high,B,high,high,C,high,high,B,low,low,E,ok
111354321,four,nursing,medium,medium,A,high,high,B,high,high,C,high,medium,B,low,low,E,ok
111354322,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354323,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354324,four,nursing,medium,medium,A,high,high,A,high,high,B,high,medium,B,low,low,E,ok
111354325,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354326,four,nursing,high,high,A,medium,medium,A,high,high,B,high,high,B,high,low,E,ok
111354327,four,nursing,medium,medium,A,high,high,B,high,high,B,high,medium,B,low,low,E,ok
111354328,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354329,four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354330,four,nursing,medium,medium,A,high,high,A,high,high,A,high,high,B,low,low,E,ok
111354331,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354333,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354334,four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354335,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354336,four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354337,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354338,four,nursing,medium,medium,A,high,high,A,high,high,B,high,high,B,low,low,E,ok
111354339,four,nursing,medium,medium,A,high,high,A,high,high,B,high,high,A,low,low,E,ok
111354341,four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354342,four,nursing,high,high,B,medium,medium,B,high,medium,B,high,low,E,high,high,B,ok
111354343,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354344,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354345,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354346,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354347,four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354348,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354349,four,nursing,medium,medium,A,high,high,A,high,high,A,high,high,B,low,low,E,ok
111354350,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354352,four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354353,four,nursing,medium,medium,A,high,high,A,high,high,B,high,high,B,low,low,E,ok
111354354,four,nursing,medium,medium,A,high,high,A,high,high,B,high,high,B,low,low,E,ok
111354355,four,nursing,medium,medium,B,high,high,B,high,high,C,high,high,C,low,low,E,ok
111354356,four,nursing,medium,medium,A,high,high,A,high,high,B,high,high,B,low,low,E,ok
111354357,four,nursing,medium,medium,B,high,high,B,high,high,C,high,high,C,low,low,E,ok
111354360,four,nursing,low,low,B,medium,medium,B,medium,medium,B,medium,medium,C,high,medium,C,ok
111354361,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354362,four,nursing,medium,medium,A,high,high,B,high,medium,B,high,high,B,low,low,E,ok
111354363,four,nursing,medium,medium,A,high,high,A,high,high,B,high,high,B,low,low,E,ok
111354364,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354365,four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
111354366,four,nursing,medium,medium,B,high,high,B,high,high,C,high,high,B,low,low,E,ok
111354372,four,nursing,low,low,E,low,low,E,low,low,E,low,low,E,low,low,E,fail
111364367,four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364368,four,nursing,medium,medium,A,high,high,B,high,high,C,high,high,B,low,low,E,ok
111364370,four,nursing,low,low,B,low,low,E,low,low,E,low,low,E,low,low,E,ok
111364371,four,nursing,medium,medium,A,high,high,A,high,high,B,high,high,B,low,low,E,ok
111364373,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364500,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364501,four,nursing,medium,medium,A,high,high,A,high,high,B,high,high,B,low,low,E,ok
111364502,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364506,four,nursing,high,high,B,medium,low,C,medium,medium,C,high,medium,C,high,high,C,ok
111364508,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
111364509,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
111364510,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364511,four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,C,low,low,E,ok
111364512,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364513,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
111364514,four,nursing,medium,medium,A,high,high,C,high,medium,B,high,high,C,low,low,E,ok
111364516,four,nursing,medium,medium,A,high,high,B,high,high,B,high,medium,C,low,low,E,ok
111364517,four,nursing,medium,medium,A,high,high,B,high,medium,B,high,high,C,low,low,E,ok
111364518,four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364519,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
111364520,four,nursing,medium,medium,B,high,high,B,high,medium,C,high,high,C,low,low,E,ok
111364521,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
111364522,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364523,four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,C,low,low,E,ok
111364524,four,nursing,low,low,C,medium,medium,B,medium,medium,B,medium,medium,B,high,medium,C,ok
111364525,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364526,four,nursing,medium,medium,B,medium,medium,B,medium,medium,B,high,medium,C,high,high,B,ok
111364527,four,nursing,medium,medium,B,high,high,B,high,medium,B,high,medium,C,low,low,E,ok
111364528,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364529,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364530,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
111364532,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364533,four,nursing,medium,medium,A,low,low,A,high,medium,B,high,high,B,high,high,B,ok
111364534,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364535,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364537,four,nursing,medium,medium,A,medium,medium,B,medium,medium,B,high,medium,C,high,high,B,ok
111364538,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364539,four,nursing,medium,medium,B,high,high,B,high,high,C,high,medium,C,low,low,E,ok
111364540,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364541,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
111364542,four,nursing,medium,medium,B,high,high,B,high,high,B,high,medium,C,low,low,E,ok
111364543,four,nursing,medium,medium,A,high,high,B,high,high,B,high,medium,C,low,low,E,ok
111364544,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364545,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364546,four,nursing,medium,medium,A,high,high,B,high,high,C,high,high,C,low,low,E,ok
111364547,four,nursing,medium,medium,A,high,high,A,high,high,B,high,high,B,low,low,E,ok
111364548,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
111364549,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364550,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
111364551,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
111364552,four,nursing,medium,medium,A,high,high,B,high,high,B,high,medium,C,low,low,E,ok
111364553,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364554,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
111364555,four,nursing,high,high,C,medium,medium,B,medium,medium,C,high,medium,C,high,high,C,ok
111364556,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364557,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364558,four,nursing,medium,medium,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364559,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
111364560,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364561,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
111364564,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364565,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364566,four,nursing,medium,medium,A,high,high,A,high,high,A,high,high,B,low,low,E,ok
111364567,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364568,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364571,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364572,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364573,four,nursing,low,low,B,medium,medium,B,medium,medium,B,medium,medium,C,high,medium,C,ok
111364574,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364577,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
111364578,four,nursing,medium,medium,A,high,high,A,high,high,B,high,high,B,low,low,E,ok
111364579,four,nursing,medium,medium,B,high,high,C,high,medium,C,high,medium,C,low,low,E,ok
111364580,four,nursing,medium,medium,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
111364581,four,nursing,medium,medium,A,high,high,A,high,high,A,high,high,B,low,low,E,ok
